# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.6334887319880702,2.1899488650076737,3.093481709970919,-25.042835515664812,0.9931384831325635,2.402318481693634,3.041596734969204,0.0,173.36249142182558,0.0
 1.6409620549923272,2.196807630796105,3.0904641749167894,-23.747241620446783,1.012183464745651,2.5483953526749765,2.9282137668868584,0.0,170.12140100869115,0.0
 1.648412693352892,2.2038451345595,3.08755206207254,-22.4797285841384,1.0322651136852599,2.6952923988229416,2.815391235416293,0.0,166.83085421754123,0.0
 1.6558388960019563,2.211063244224806,3.0847464256602684,-21.24080885260243,1.0533780696259205,2.843035254810981,2.703663946407996,0.0,163.50426085152407,0.0
 1.6632390562154251,2.218463827718971,3.082048319902075,-20.030851126716357,1.0755167466446078,2.99164834004451,2.593503871026039,0.0,159.09840170221273,0.0
 1.6706606331489267,2.2260487529689437,3.0794587990200575,-18.850090098486255,1.084342474084578,1.1891984033918916,2.4853208504069673,0.0,151.4532515670402,0.0
 1.6782633312752215,2.2338198879016695,3.076978917236316,-17.698636746576252,1.0615343797056933,-3.0,2.379464475392115,0.0,141.83924983784777,0.0
 1.6861747366915272,2.241779100444098,3.0746097287729475,-16.576488937164374,1.0378001634567764,-3.0,2.2762268992080865,0.0,132.53716593085133,0.0
 1.6944210789350531,2.249928258523177,3.072352287852052,-15.483542106911587,1.0130611367261986,-3.0,2.175846351888188,0.0,123.5557488123126,0.0
 1.7030321090097025,2.2582692300658525,3.0702076486957277,-14.41959983799294,0.9872280465022502,-3.0000000000000386,2.0785111453396765,0.0,114.89922234994617,0.0
 1.7120418799124595,2.2668038829990733,3.068176865526074,-13.384384167714988,0.960198733793979,-3.0000000000000124,1.9843639819140977,0.0,106.56763175493485,0.0
